"date","count","min","max","mean","median","mode","standardDev"
"2018-10-04","718","100","1550000","114572","65000","10000","158595"
"2018-10-05","621","100","4000000","127872","65000","60000","278606"
"2018-10-06","539","15","3664000","121132","69000","25000","259463"
"2018-10-07","385","20","4000000","155048","57900","35000","334817"
"2018-10-08","780","100","2139850","118940","63000","65000","189132"
"2018-10-09","689","650","6500000","117989","52000","55000","296779"
"2018-10-10","710","20","2000000","118696","59527","15000","184499"
"2018-10-11","626","1","3384000","126899","64000","15000","226080"
"2018-10-12","544","378","2550000","123102","62000","60000","213224"
"2018-10-13","371","10","6500000","130665","69000","49000","361724"
"2018-10-14","339","1200","1000000","120899","55000","35000","172409"
"2018-10-15","892","300","4368000","157863","70000","15000","329820"
"2018-10-16","750","7","2150000","110865","63000","25000","157759"
"2018-10-17","910","100","5073000","124971","71850","25000","231322"
"2018-10-18","441","1","2390000","102579","44000","15000","224144"
"2018-10-19","952","1000","2500000","123814","78690","35000","176150"
"2018-10-20","474","34","24601600","195143","59000","55000","1162918"
"2018-10-21","419","100","2150000","146869","54900","25000","247799"
"2018-10-22","1037","95","2350000","128302","78771","65000","167341"
"2018-10-23","712","1","12395000","120865","55000","25000","499426"
"2018-10-24","650","50","2300000","102152","59949","1950","156567"
"2018-10-25","633","1175","1900000","105120","69000","20000","135628"
"2018-10-26","642","36","2500000","117732","77000","99000","171859"
"2018-10-27","418","1000","2077020","117366","70000","10000","175627"
"2018-10-28","314","455","1350000","82880","42950","20000","141651"
"2018-10-29","931","450","2500000","140454","77000","250000","199817"
"2018-10-30","693","15","3450000","121424","60000","55000","267804"
"2018-10-31","855","91","4300000","110453","55000","45000","242976"
"2018-11-01","648","10","2080000","107238","59000","45000","159269"
"2018-11-02","662","152","5500000","123955","65000","15000","261201"
"2018-11-03","464","100","3900000","127168","64000","35000","321045"
"2018-11-04","491","115","4000000","133869","58900","65000","321173"
"2018-11-05","852","490","5000000","143301","68350","25000","341839"
"2018-11-06","816","50","1750000","112790","75000","75000","147192"
"2018-11-07","791","30","2000000","112743","65000","20000","166287"
"2018-11-08","539","168","1250000","130010","84900","20000","162507"
"2018-11-09","391","91","5040000","160208","82900","25000","331964"
"2018-11-10","345","5","1800000","155270","99000","52000","186508"
"2018-11-11","338","5","51000000","284853","79000","65000","2768508"
"2018-11-12","509","90","2000000","192145","130000","250000","248185"
"2018-11-13","162","600","12395000","229355","91450","15000","990459"
"2018-11-14","184","4","4000000","141643","56000","55000","332151"
"2018-11-15","180","10","1700000","120631","64000","70000","198799"
"2018-11-16","410","199","2440000","110005","50000","50000","196413"
"2018-11-17","1582","60","3590000","176690","107500","65000","279381"
"2018-11-18","210","40","1270000","87148","44850","12000","134365"
"2018-11-19","516","70","2000000","157095","87850","35000","228155"
"2018-11-20","776","1000","2000000","107402","57750","35000","161715"
"2018-11-21","807","800","55555000","190522","60000","35000","1963493"
"2018-11-22","674","55","2000000","111298","60550","18000","169775"
"2018-11-23","647","25","3664000","135035","74900","10000","252749"
"2018-11-24","394","100","2650000","120171","64000","35000","231761"
"2018-11-25","475","580","2200000","111961","62000","25000","165314"
"2018-11-26","774","25","70580736","226406","70000","45000","2538602"
"2018-11-27","706","500","7500000","132201","59000","45000","399090"
"2018-11-28","627","10","9000000","150855","68860","45000","420376"
"2018-11-29","590","600","4134000","163706","76500","110000","352284"
"2018-11-30","515","40","1350000","118218","63500","32000","168995"
"2018-12-01","457","1","1900000","114107","75000","50000","162948"
"2018-12-02","320","260","690000","80923","55000","45000","87736"
"2018-12-03","765","45","9000000","137139","68900","15000","368747"
"2018-12-04","679","2","4000000","118424","62000","25000","212651"
"2018-12-05","796","300","8500000","129308","82350","65000","357045"
"2018-12-06","589","15","3900000","121427","64000","10000","217669"
"2018-12-07","640","100","5500000","125070","68750","10000","290377"
"2018-12-08","351","1","4279000","147525","75800","65000","307036"
"2018-12-09","469","123","2000000","113874","63000","35000","169050"
"2018-12-10","950","50","2990000","149127","79800","15000","250255"
"2018-12-11","649","5","4900000","141197","79000","25000","315838"
