"date","count","min","max","mean","median","mode","standardDev"
"2018-07-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-23","5","91","60000","12072","91","91","23963"
"2018-07-24","3","400","30000","20133","30000","30000","13953"
"2018-07-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-26","1","18000","18000","18000","18000","18000","0"
"2018-07-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-28","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-29","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-31","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-01","1","25000","25000","25000","25000","25000","0"
"2018-08-02","2","30000","60000","45000","45000","30000","15000"
"2018-08-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-05","2","250","4500","2375","2375","250","2125"
"2018-08-06","1","75000","75000","75000","75000","75000","0"
"2018-08-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-12","2","1000","27000","14000","14000","1000","13000"
"2018-08-13","1","7000","7000","7000","7000","7000","0"
"2018-08-14","1","78000","78000","78000","78000","78000","0"
"2018-08-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-16","1","10000","10000","10000","10000","10000","0"
"2018-08-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-18","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-19","1","20000","20000","20000","20000","20000","0"
"2018-08-20","4","1","25000","9752","7005","1","10494"
"2018-08-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-22","3","10000","50000","26000","18000","10000","17281"
"2018-08-23","3","12","1000","341","12","12","465"
"2018-08-24","2","10000","25000","17500","17500","10000","7500"
"2018-08-25","1","30000","30000","30000","30000","30000","0"
"2018-08-26","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-28","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-29","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-08-31","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-02","1","30000","30000","30000","30000","30000","0"
"2018-09-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-05","1","2500","2500","2500","2500","2500","0"
"2018-09-06","1","70000","70000","70000","70000","70000","0"
"2018-09-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-12","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-13","1","5","5","5","5","5","0"
"2018-09-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-16","1","2000","2000","2000","2000","2000","0"
"2018-09-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-18","3","6","10000","3337","6","6","4711"
"2018-09-19","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-20","1","4000","4000","4000","4000","4000","0"
"2018-09-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-22","1","10","10","10","10","10","0"
"2018-09-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-24","1","35000","35000","35000","35000","35000","0"
"2018-09-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-09-26","3","1234","29000","10489","1234","1234","13089"
"2018-09-27","1","42000","42000","42000","42000","42000","0"
