"date","count","min","max","mean","median","mode","standardDev"
"2018-10-25","7","20","650","221","120","20","207"
"2018-10-26","5","5","1000","291","150","5","364"
"2018-10-27","10","4","300","163","140","100","92"
"2018-10-28","6","60","250","171","185","200","58"
"2018-10-29","10","100","400","230","200","200","92"
"2018-10-30","5","40","250","146","160","40","71"
"2018-10-31","10","50","220","146","135","200","53"
"2018-11-01","6","150","270","208","200","200","40"
"2018-11-02","11","55","500","169","100","100","129"
"2018-11-03","7","50","1000","277","170","50","307"
"2018-11-04","4","150","300","225","225","150","55"
"2018-11-05","9","1","300","137","120","50","95"
"2018-11-06","8","3","250","140","175","250","107"
"2018-11-07","7","50","43000","8820","200","200","15252"
"2018-11-08","5","20","200","110","65","65","75"
"2018-11-09","7","35","400","169","150","150","104"
"2018-11-10","7","120","220","181","200","200","32"
"2018-11-11","7","30","350","154","150","200","101"
"2018-11-12","10","46","250","161","185","250","77"
"2018-11-13","11","30","230","116","150","150","58"
"2018-11-14","8","5","500","254","235","250","147"
"2018-11-15","11","30","1000","246","200","200","255"
"2018-11-16","3","130","450","276","250","130","131"
"2018-11-17","6","20","300","150","125","20","97"
"2018-11-18","5","100","350","186","150","150","85"
"2018-11-19","9","80","2500","480","230","200","718"
"2018-11-20","11","60","250","142","120","200","65"
"2018-11-21","14","90","700","267","225","200","158"
"2018-11-22","9","80","460","182","150","123","115"
"2018-11-23","16","4","600","177","125","100","164"
"2018-11-24","5","200","300","220","200","200","40"
"2018-11-25","5","15","150","117","150","150","52"
"2018-11-26","11","100","300","170","120","100","79"
"2018-11-27","4","2","350","115","55","2","138"
"2018-11-28","4","4","200","90","78","4","86"
"2018-11-29","8","3","200","110","110","100","52"
"2018-11-30","3","100","210","170","200","100","49"
"2018-12-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-02","3","150","200","166","150","150","23"
"2018-12-03","2","70","100","85","85","70","15"
"2018-12-04","4","1","200","102","105","1","88"
"2018-12-05","5","100","1200","364","170","100","419"
"2018-12-06","2","350","3000","1675","1675","350","1325"
"2018-12-07","2","60","850","455","455","60","395"
"2018-12-08","11","150","250","190","180","180","29"
"2018-12-09","3","80","150","110","100","80","29"
"2018-12-10","9","50","35000","3977","100","50","10968"
"2018-12-11","2","180","200","190","190","180","10"
"2018-12-12","15","150","200","190","200","200","17"
"2018-12-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-15","3","100","500","233","100","100","188"
"2018-12-16","5","100","150","140","150","150","20"
"2018-12-17","1","100","100","100","100","100","0"
"2018-12-18","1","100","100","100","100","100","0"
"2018-12-19","3","180","200","193","200","200","9"
"2018-12-20","2","40","390","215","215","40","175"
"2018-12-21","1","100","100","100","100","100","0"
"2018-12-22","4","100","400","255","260","400","145"
"2018-12-23","1","120","120","120","120","120","0"
"2018-12-24","3","100","200","166","200","200","47"
"2018-12-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-26","2","70","150","110","110","70","40"
"2018-12-27","5","1","200","150","180","180","74"
"2018-12-28","2","5","200","102","102","5","97"
"2018-12-29","1","100","100","100","100","100","0"
"2018-12-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-31","6","1","200","116","150","150","68"
"2019-01-01","3","100","320","173","100","100","103"
"2019-01-02","3","90","180","140","150","90","37"
"2019-01-03","3","150","450","316","350","150","124"
"2019-01-04","3","100","220","156","150","100","49"
"2019-01-05","2","30","130","80","80","30","50"
"2019-01-06","4","180","200","195","200","200","8"
"2019-01-07","1","150","150","150","150","150","0"
"2019-01-08","4","30","300","152","140","30","100"
"2019-01-09","2","50","350","200","200","50","150"
"2019-01-10","2","2","250","126","126","2","124"
"2019-01-11","3","100","150","116","100","100","23"
"2019-01-12","2","80","170","125","125","80","45"
"2019-01-13","2","50","100","75","75","50","25"
"2019-01-14","7","4","500","249","250","250","152"
"2019-01-15","2","25","50000","25012","25012","25","24987"
"2019-01-16","1","130","130","130","130","130","0"
"2019-01-17","1","180","180","180","180","180","0"
"2019-01-18","2","90","90","90","90","90","0"
"2019-01-19","1","200","200","200","200","200","0"
"2019-01-20","3","3","700","401","500","3","293"
"2019-01-21","2","250","300","275","275","250","25"
"2019-01-22","3","7","200","125","170","7","84"
"2019-01-23","4","80","250","172","180","80","62"
"2019-01-24","3","10","50","24","12","10","18"
"2019-01-25","1","180","180","180","180","180","0"
"2019-01-26","12","100","180","155","180","180","33"
"2019-01-27","4","100","250","162","150","150","54"
"2019-01-28","9","50","900","243","180","180","237"
"2019-01-29","3","100","3000","1100","200","100","1344"
"2019-01-30","2","2","150","76","76","2","74"
"2019-01-31","2","180","250","215","215","180","35"
"2019-02-01","1","50","50","50","50","50","0"
"2019-02-02","2","150","150","150","150","150","0"
"2019-02-03","1","130","130","130","130","130","0"
"2019-02-04","6","150","550","370","385","550","181"
"2019-02-05","3","70","200","150","180","70","57"
"2019-02-06","14","50","200","186","200","200","38"
"2019-02-07","3","120","200","156","150","120","32"
"2019-02-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-09","3","40","100","63","50","40","26"
"2019-02-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-11","2","160","250","205","205","160","45"
"2019-02-12","7","50","2590","555","200","150","840"
"2019-02-13","1","200","200","200","200","200","0"
"2019-02-14","2","160","160","160","160","160","0"
"2019-02-15","8","1","300","143","125","100","84"
"2019-02-16","2","100","200","150","150","100","50"
"2019-02-17","5","150","500","240","200","150","131"
"2019-02-18","1","200","200","200","200","200","0"
"2019-02-19","2","160","200","180","180","160","20"
"2019-02-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-22","3","200","200","200","200","200","0"
"2019-02-23","3","50","200","133","150","50","62"
"2019-02-24","2","9","100000","50004","50004","9","49995"
"2019-02-25","5","150","450","220","150","150","116"
"2019-02-26","2","180","300","240","240","180","60"
"2019-02-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-28","3","250","500","333","250","250","117"
"2019-03-01","3","40","220","143","170","40","75"
"2019-03-02","1","400","400","400","400","400","0"
"2019-03-03","1","100","100","100","100","100","0"
"2019-03-04","3","2","250","150","200","2","107"
"2019-03-05","2","200","700","450","450","200","250"
"2019-03-06","2","100","550","325","325","100","225"
"2019-03-07","3","80","150","126","150","150","32"
"2019-03-08","1","500","500","500","500","500","0"
"2019-03-09","5","1","150","90","100","150","58"
"2019-03-10","15","10","200","137","180","180","70"
"2019-03-11","4","50","200","100","75","50","61"
"2019-03-12","1","150","150","150","150","150","0"
"2019-03-13","2","1000","1100","1050","1050","1000","50"
"2019-03-14","4","50","200","157","190","200","62"
"2019-03-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-16","5","100","250","184","200","200","49"
"2019-03-17","1","50","50","50","50","50","0"
"2019-03-18","2","7","150","78","78","7","71"
"2019-03-19","3","35","2007","747","200","35","893"
"2019-03-20","5","50","200","136","130","50","52"
"2019-03-21","2","180","200","190","190","180","10"
"2019-03-22","1","150","150","150","150","150","0"
"2019-03-23","1","100","100","100","100","100","0"
"2019-03-24","2","40","250","145","145","40","105"
"2019-03-25","9","50","250","153","150","200","62"
"2019-03-26","3","150","200","175","175","150","20"
"2019-03-27","2","200","200","200","200","200","0"
"2019-03-28","4","200","500","287","225","200","124"
"2019-03-29","4","250","600","425","425","250","175"
"2019-03-30","1","600","600","600","600","600","0"
"2019-03-31","4","50","600","317","310","50","218"
"2019-04-01","4","150","250","190","180","180","36"
"2019-04-02","3","10","250","136","150","10","98"
"2019-04-03","5","50","190","138","150","150","46"
"2019-04-04","14","180","200","195","200","200","8"
"2019-04-05","1","100","100","100","100","100","0"
