"date","count","min","max","mean","median","mode","standardDev"
"2018-07-18","389","3","60750","1273","400","200","4097"
"2018-07-19","424","1","13500","1022","447","240","1761"
"2018-07-20","339","1","20500","985","450","200","1941"
"2018-07-21","210","3","15000","943","380","250","1834"
"2018-07-22","211","9","9000","975","480","250","1361"
"2018-07-23","536","1","18453","876","465","200","1474"
"2018-07-24","437","1","13585","952","499","500","1504"
"2018-07-25","449","10","18453","937","433","300","1709"
"2018-07-26","379","5","10000","928","420","200","1582"
"2018-07-27","316","7","34300","896","390","250","2331"
"2018-07-28","206","13","34300","1142","365","250","3034"
"2018-07-29","236","2","34300","1163","450","250","2750"
"2018-07-30","424","5","299000","1511","361","200","14564"
"2018-07-31","446","4","9800","752","420","350","1078"
"2018-08-01","431","7","25000","843","390","500","1863"
"2018-08-02","422","7","34960","749","370","250","1973"
"2018-08-03","343","8","12610","718","360","350","1418"
"2018-08-04","255","1","45000","865","350","350","3111"
"2018-08-05","203","1","13500","567","300","300","1296"
"2018-08-06","360","1","9600","625","330","350","1032"
"2018-08-07","468","2","14000","777","350","300","1543"
"2018-08-08","439","5","18000","1008","390","300","2011"
"2018-08-09","401","3","31509","962","400","300","2147"
"2018-08-10","349","4","42000","1027","400","600","2841"
"2018-08-11","221","1","15125","1084","400","400","2253"
"2018-08-12","213","2","15125","822","295","300","2018"
"2018-08-13","393","2","26595","883","340","200","2331"
"2018-08-14","517","10","26836","913","360","350","2274"
"2018-08-15","549","1","48400","1221","393","350","4223"
"2018-08-16","462","5","15525","831","450","200","1461"
"2018-08-17","435","10","8900","725","400","250","1048"
"2018-08-18","255","9","21315","966","390","150","1891"
"2018-08-19","201","4","12345","850","340","250","1501"
"2018-08-20","443","1","15442","740","350","200","1362"
"2018-08-21","418","1","8580","595","360","350","847"
"2018-08-22","496","5","50000","854","440","250","2471"
"2018-08-23","457","2","13500","858","447","250","1329"
"2018-08-24","384","1","13500","619","350","350","1085"
"2018-08-25","218","8","111443","1173","350","200","7597"
"2018-08-26","238","5","7500","464","250","180","730"
"2018-08-27","362","7","7500","616","300","250","941"
"2018-08-28","472","5","117500","1134","392","250","5810"
"2018-08-29","457","2","9000","661","350","200","952"
"2018-08-30","479","1","48400","1037","370","600","3618"
"2018-08-31","430","1","35000","707","360","250","1890"
"2018-09-01","256","24","9775","707","375","200","1040"
"2018-09-02","195","15","163000","1318","300","200","11633"
"2018-09-03","429","10","20500","803","350","250","1720"
"2018-09-04","572","3","19574","848","450","250","1590"
"2018-09-05","489","1","105000","965","440","200","4833"
"2018-09-06","461","3","19677","976","400","500","2177"
"2018-09-07","420","4","299000","2405","450","200","15280"
"2018-09-08","259","7","675555","3451","399","200","41870"
"2018-09-09","192","15","13500","616","300","250","1378"
"2018-09-10","449","4","30000","729","420","250","1660"
"2018-09-11","450","7","60750","1068","445","250","3436"
"2018-09-12","431","1","290000","1536","360","300","14046"
"2018-09-13","369","4","13956","909","400","400","1597"
"2018-09-14","383","7","15000","982","448","350","1635"
"2018-09-15","256","4","25000","1105","370","200","2701"
"2018-09-16","206","10","13380","640","304","200","1380"
"2018-09-17","652","1","25906","944","440","250","1668"
"2018-09-18","868","2","60100","1237","550","500","3884"
"2018-09-19","381","1","17798","817","400","500","1714"
"2018-09-20","313","1","22500","854","380","350","1874"
"2018-09-21","268","6","12720","937","400","400","1689"
"2018-09-22","202","10","21760","623","327","200","1632"
"2018-09-23","200","20","6000","685","324","250","937"
"2018-09-24","312","1","8160","562","370","500","773"
"2018-09-25","389","3","14312","717","350","200","1362"
"2018-09-26","393","4","15000","844","355","350","1554"
"2018-09-27","369","3","7916","738","380","350","963"
"2018-09-28","374","1","35200","1006","350","150","2930"
"2018-09-29","273","2","35200","963","300","250","2741"
"2018-09-30","281","7","14179","853","280","200","1626"
"2018-10-01","448","1","19469","676","390","300","1207"
"2018-10-02","463","13","39000","684","364","550","1969"
"2018-10-03","451","1","18000","801","380","200","1502"
"2018-10-04","422","5","259308","1487","370","350","12945"
"2018-10-05","371","5","60000","1105","395","250","3735"
"2018-10-06","288","1","4500","594","362","250","708"
"2018-10-07","246","1","7000","725","340","250","1009"
"2018-10-08","469","3","52500","1084","400","500","3729"
"2018-10-09","380","1","30000","653","350","350","1650"
"2018-10-10","429","1","260400","2090","350","600","17879"
"2018-10-11","388","3","58500","935","400","250","3382"
"2018-10-12","305","1","25906","1193","430","200","3140"
"2018-10-13","222","2","49500","1428","360","200","4438"
"2018-10-14","284","1","25906","864","250","100","2374"
"2018-10-15","557","2","19574","878","450","1000","1453"
"2018-10-16","382","2","15600","717","341","200","1439"
"2018-10-17","394","25","45500","954","420","200","2906"
"2018-10-18","254","7","6896","611","322","250","903"
"2018-10-19","438","3","36360","1133","483","200","3097"
"2018-10-20","226","9","117600","1251","330","250","7979"
"2018-10-21","207","4","13500","678","350","200","1187"
"2018-10-22","463","1","18000","767","430","250","1398"
"2018-10-23","346","3","60750","990","350","350","3590"
"2018-10-24","370","2","13380","772","350","250","1560"
"2018-10-25","320","2","56134","927","350","200","3476"
"2018-10-26","350","1","9000","791","365","150","1184"
"2018-10-27","197","8","5500","548","350","300","668"
"2018-10-28","166","1","16695","682","259","250","1574"
"2018-10-29","503","1","18000","876","435","250","1756"
"2018-10-30","441","5","20400","779","350","350","1557"
"2018-10-31","365","8","390000","2657","300","200","28760"
"2018-11-01","368","7","6600000","18558","320","250","343549"
"2018-11-02","308","15","4665","574","350","300","705"
"2018-11-03","207","5","25272","660","320","380","1968"
